,site.latitude (deg),site.longitude (deg),dri_grid_feedstock.price (USD/MW/h),hydrogen_feedstock.price (USD/kg),finance_subgroup_sponge_iron.LCOS (USD/kg)
391,40.397,-78.953,55.08437671,8.675339245,0.8362957996530757
392,40.787,-86.032,58.56400898,7.46717362,0.7638252389458284
393,44.058,-94.688,49.28794319,6.886392673,0.7278164717313734
394,40.988,-92.13,51.34739551,6.770451172,0.7210464266124584
395,42.727,-89.024,52.79106223,6.636289411,0.7131119720179999
396,42.335,-91.451,50.02971856,6.64395281,0.7132786243038104
397,38.392,-88.5,57.86180863,8.146670896,0.8047184093570208
398,44.244,-90.231,58.69672689,7.387475541,0.7590342752558699
399,43.469,-97.73,49.2252985,7.077334545,0.7393220482476153
400,38.105,-94.806,49.62168947,6.735856204,0.7187760205954807
401,41.24,-85.519,53.29636267,7.026106974,0.7366689275159279
402,39.257,-77.09,60.22997497,9.200428081,0.8685049256999342
403,45.223,-83.711,57.52598123,7.826185595,0.7853597674770538
404,39.81,-80.704,67.00045585,10.15581671,0.9268315293721036
405,41.678,-89.583,55.79017964,6.832162938,0.725242414657741
406,44.798,-83.331,54.87854293,7.561422057,0.7691134247575856
407,42.005,-94.139,49.88206057,6.378900585,0.6972822855675775
408,46.403,-95.749,52.06006614,7.195805009,0.7467681201456002
409,42.398,-97.551,46.90093765,6.288824149,0.6915324918693668
410,39.842,-80.116,62.94558708,9.712343181,0.8996598367225597
411,39.696,-89.064,55.44977196,7.190966362,0.7468389958765334
412,44.743,-96.839,47.21764232,6.278164547,0.6909236814750973
413,41.431,-95.915,51.94359975,6.900670444,0.7289613919815656
414,41.059,-88.915,56.09943255,7.088687211,0.7407418719709922
415,38.728,-75.52,55.35219581,8.633813323,0.8338207659543093
416,39.353,-90.096,58.12244541,7.782775604,0.7828062956046264
417,45.818,-95.751,48.45444571,6.964379638,0.7324293042045384
418,41.765,-83.501,57.41290156,8.084847126,0.800942906196559
419,41.709,-90.317,58.05576703,6.956987333,0.7330106910756611
420,41.223,-88.31,59.46589028,7.512207926,0.7666369269279907
421,45.123,-97.934,50.41654986,7.879679239,0.7878244905240444
422,45.997,-84.822,56.78066617,7.904179107,0.7899824278383707
423,39.098,-75.981,57.48469268,8.606059271,0.8323755371571673
424,39.425,-89.52,54.51436717,6.970990054,0.7334761089991013
